time,x,y,z,speed,grounded,nextGate,misses,penalty
0.000,-623.452,7.564,-359.962,0.000,4,11,0,0
0.100,-623.452,7.505,-359.962,0.000,0,11,0,0
0.200,-623.455,7.410,-359.855,1.776,4,11,0,0
0.300,-623.460,7.350,-359.574,3.494,4,11,0,0
0.401,-623.469,7.333,-359.125,5.159,4,11,0,0
0.501,-623.481,7.343,-358.512,6.771,4,11,0,0
0.601,-623.497,7.361,-357.742,8.332,4,11,0,0
0.701,-623.516,7.377,-356.817,9.845,4,11,0,0
0.801,-623.537,7.388,-355.745,11.311,4,11,0,0
0.902,-623.562,7.394,-354.528,12.731,4,11,0,0
1.002,-623.589,7.398,-353.173,14.108,4,11,0,0
1.102,-623.619,7.403,-351.682,15.441,4,11,0,0
1.202,-623.651,7.409,-350.060,16.733,4,11,0,0
1.303,-623.686,7.417,-348.312,17.985,4,11,0,0
1.403,-623.724,7.426,-346.441,19.198,4,11,0,0
1.503,-623.764,7.435,-344.450,20.373,4,11,0,0
1.603,-623.806,7.445,-342.345,21.511,4,11,0,0
1.703,-623.851,7.455,-340.128,22.615,4,11,0,0
1.803,-623.897,7.466,-337.802,23.684,4,11,0,0
1.903,-623.946,7.476,-335.372,24.720,4,11,0,0
2.003,-623.997,7.487,-332.840,25.723,4,11,0,0
2.104,-624.050,7.499,-330.210,26.696,4,11,0,0
2.204,-624.104,7.510,-327.484,27.638,4,11,0,0
2.305,-624.161,7.522,-324.666,28.551,4,11,0,0
2.405,-624.219,7.535,-321.758,29.435,4,11,0,0
2.505,-624.279,7.547,-318.763,30.293,4,11,0,0
2.606,-624.341,7.560,-315.685,31.123,4,11,0,0
2.706,-624.405,7.573,-312.525,31.928,4,11,0,0
2.806,-624.470,7.586,-309.286,32.708,4,11,0,0
2.907,-624.536,7.599,-305.970,33.463,4,11,0,0
3.007,-624.604,7.613,-302.580,34.195,4,11,0,0
3.107,-624.674,7.626,-299.121,34.828,4,11,0,0
3.208,-624.744,7.640,-295.614,35.215,4,11,0,0
3.308,-624.815,7.654,-292.079,35.451,4,11,0,0
3.408,-624.887,7.668,-288.525,35.595,4,11,0,0
3.509,-624.958,7.681,-284.961,35.684,4,11,0,0
3.609,-625.030,7.695,-281.389,35.740,4,11,0,0
3.709,-625.101,7.708,-277.814,35.774,4,11,0,0
3.809,-625.173,7.722,-274.236,35.795,4,11,0,0
3.909,-625.245,7.735,-270.656,35.809,4,11,0,0
4.010,-625.317,7.749,-267.076,35.817,4,11,0,0
4.110,-625.389,7.762,-263.494,35.822,4,11,0,0
4.210,-625.461,7.775,-259.913,35.826,4,11,0,0
4.310,-625.533,7.788,-256.331,35.828,4,11,0,0
4.410,-625.605,7.801,-252.749,35.829,4,11,0,0
4.511,-625.677,7.814,-249.166,35.830,4,11,0,0
4.611,-625.749,7.827,-245.584,35.830,4,11,0,0
4.711,-625.821,7.840,-242.002,35.831,4,11,0,0
4.812,-625.893,7.853,-238.420,35.831,4,11,0,0
4.912,-625.965,7.866,-234.837,35.831,4,11,0,0
5.012,-626.037,7.879,-231.255,35.831,4,11,0,0
5.112,-626.109,7.892,-227.672,35.831,4,11,0,0
5.212,-626.181,7.904,-224.090,35.831,4,11,0,0
5.312,-626.253,7.917,-220.508,35.831,4,11,0,0
5.413,-626.325,7.930,-216.925,35.831,4,11,0,0
5.513,-626.397,7.942,-213.343,35.831,4,11,0,0
