station,side,ground
-5,-5,152.035
-5,0,152.035
-5,5,152.000
-3,-5,152.035
-3,0,152.035
-3,5,152.000
-1,-5,152.035
-1,0,152.035
-1,5,152.000
1,-5,152.035
1,0,152.000
1,5,152.000
3,-5,152.035
3,0,152.000
3,5,152.000
5,-5,152.035
5,0,152.000
5,5,152.000
7,-5,152.000
7,0,152.000
7,5,152.000
9,-5,152.000
9,0,152.000
9,5,152.000
11,-5,152.000
11,0,152.000
11,5,152.000
13,-5,152.000
13,0,152.000
13,5,152.000
15,-5,152.000
15,0,152.000
15,5,152.000
17,-5,152.000
17,0,152.000
17,5,152.000
19,-5,152.000
19,0,152.000
19,5,152.000
21,-5,152.000
21,0,152.000
21,5,152.000
23,-5,152.000
23,0,152.000
23,5,152.000
25,-5,152.000
25,0,152.000
25,5,152.000
27,-5,152.000
27,0,152.000
27,5,152.000
29,-5,152.000
29,0,152.000
29,5,152.000
31,-5,152.000
31,0,152.000
31,5,152.000
33,-5,152.000
33,0,152.000
33,5,152.000
35,-5,152.000
35,0,152.000
35,5,152.000
37,-5,152.000
37,0,152.000
37,5,152.000
39,-5,152.000
39,0,152.000
39,5,152.000
41,-5,152.000
41,0,152.000
41,5,152.000
43,-5,152.000
43,0,152.000
43,5,152.000
45,-5,152.000
45,0,152.000
45,5,152.000
47,-5,152.000
47,0,152.000
47,5,152.000
49,-5,152.000
49,0,152.000
49,5,152.000
51,-5,152.000
51,0,152.000
51,5,152.000
53,-5,152.000
53,0,152.000
53,5,152.000
55,-5,152.000
55,0,152.000
55,5,152.000
57,-5,152.000
57,0,152.000
57,5,152.000
59,-5,152.000
59,0,152.000
59,5,152.000
61,-5,152.000
61,0,152.000
61,5,152.000
63,-5,152.000
63,0,152.000
63,5,152.000
65,-5,152.000
65,0,152.000
65,5,152.000
67,-5,152.000
67,0,152.000
67,5,152.000
69,-5,152.000
69,0,152.000
69,5,152.000
71,-5,152.000
71,0,152.000
71,5,152.000
73,-5,152.000
73,0,152.000
73,5,152.000
75,-5,152.000
75,0,152.000
75,5,152.000
77,-5,152.000
77,0,152.000
77,5,152.000
79,-5,152.000
79,0,152.000
79,5,152.000
81,-5,152.000
81,0,152.000
81,5,152.000
83,-5,152.000
83,0,152.000
83,5,152.000
85,-5,152.000
85,0,152.000
85,5,152.000
87,-5,152.000
87,0,152.000
87,5,152.000
89,-5,152.000
89,0,152.000
89,5,152.000
91,-5,152.000
91,0,152.000
91,5,152.000
93,-5,152.000
93,0,152.000
93,5,152.000
95,-5,152.000
95,0,152.000
95,5,152.000
97,-5,152.000
97,0,152.000
97,5,152.000
99,-5,152.000
99,0,152.000
99,5,152.000
101,-5,152.000
101,0,152.000
101,5,152.000
103,-5,152.000
103,0,152.000
103,5,152.000
105,-5,152.000
105,0,152.000
105,5,152.000
107,-5,152.000
107,0,152.000
107,5,152.000
109,-5,152.000
109,0,152.000
109,5,152.000
111,-5,152.000
111,0,152.000
111,5,152.000
113,-5,152.000
113,0,152.000
113,5,152.000
115,-5,152.000
115,0,152.000
115,5,152.000
117,-5,152.000
117,0,152.000
117,5,152.000
119,-5,152.000
119,0,152.000
119,5,152.000
121,-5,152.000
121,0,152.000
121,5,152.000
123,-5,152.000
123,0,152.000
123,5,152.000
125,-5,152.000
125,0,152.000
125,5,152.000
127,-5,152.000
127,0,152.000
127,5,152.000
129,-5,152.000
129,0,152.000
129,5,152.000
131,-5,152.000
131,0,152.000
131,5,152.000
133,-5,152.000
133,0,152.000
133,5,152.000
135,-5,152.000
135,0,152.000
135,5,152.000
137,-5,152.000
137,0,152.000
137,5,152.000
139,-5,152.000
139,0,152.000
139,5,152.000
141,-5,152.000
141,0,152.000
141,5,152.000
143,-5,152.000
143,0,152.000
143,5,152.000
145,-5,152.000
145,0,152.000
145,5,152.000
147,-5,152.000
147,0,152.000
147,5,152.000
149,-5,152.000
149,0,152.000
149,5,152.000
151,-5,152.000
151,0,152.000
151,5,152.000
153,-5,152.000
153,0,152.000
