course,vehicle,speed,line,seconds,travel,air,minUp,recovered,outcome,scoredDistance,scoredAirtime,awards
Street Loop Reverse,original,12,-1.5,13.340,150.178,0.000,0.980,True,completed,0.000,0.000,0
Street Loop Reverse,original,12,-3,13.340,150.178,0.000,0.980,True,completed,0.000,0.000,0
Street Loop Reverse,original,12,0,13.340,150.179,0.000,0.980,True,completed,0.000,0.000,0
Street Loop Reverse,original,12,-4.7,13.880,150.170,0.000,0.525,True,completed,0.000,0.000,0
Street Loop Reverse,original,12,1.7,13.760,150.185,0.000,0.525,True,completed,0.000,0.000,0
Street Loop Reverse,original,24,-1.5,7.000,150.037,1.140,0.981,True,completed,26.583,1.140,0
Street Loop Reverse,original,24,-3,7.000,150.039,1.140,0.981,True,completed,26.583,1.140,0
Street Loop Reverse,original,24,0,7.000,150.019,1.140,0.981,True,completed,26.583,1.140,0
Street Loop Reverse,original,24,-4.7,8.260,150.365,0.680,0.723,True,completed,0.000,0.000,0
Street Loop Reverse,original,24,1.7,8.260,150.068,0.680,0.738,True,completed,0.000,0.000,0
Street Loop Reverse,original,36,-1.5,5.000,150.075,1.740,0.982,True,completed,59.049,1.740,0
Street Loop Reverse,original,36,-3,5.000,150.043,1.740,0.982,True,completed,59.029,1.740,0
Street Loop Reverse,original,36,0,5.000,150.079,1.740,0.982,True,completed,59.034,1.740,0
Street Loop Reverse,original,36,-4.7,4.980,150.068,1.480,0.849,True,completed,50.677,1.480,0
Street Loop Reverse,original,36,1.7,7.140,150.275,0.640,0.579,True,completed,0.000,0.000,0
Street Loop Reverse,tourer,12,-1.5,13.340,150.162,0.000,0.980,True,completed,0.000,0.000,0
Street Loop Reverse,tourer,12,-3,13.340,150.162,0.000,0.980,True,completed,0.000,0.000,0
Street Loop Reverse,tourer,12,0,13.340,150.156,0.000,0.980,True,completed,0.000,0.000,0
Street Loop Reverse,tourer,12,-4.7,14.860,150.127,0.000,0.536,True,completed,0.000,0.000,0
Street Loop Reverse,tourer,12,1.7,14.940,150.035,0.000,0.537,True,completed,0.000,0.000,0
Street Loop Reverse,tourer,24,-1.5,7.000,150.239,1.080,0.981,True,completed,25.263,1.080,0
Street Loop Reverse,tourer,24,-3,7.000,150.239,1.080,0.981,True,completed,25.263,1.080,0
Street Loop Reverse,tourer,24,0,7.000,150.027,1.080,0.981,True,completed,25.263,1.080,0
Street Loop Reverse,tourer,24,-4.7,7.020,150.012,1.020,0.911,True,completed,23.783,1.020,0
Street Loop Reverse,tourer,24,1.7,8.380,150.337,0.720,0.881,True,completed,13.259,0.720,0
Street Loop Reverse,tourer,36,-1.5,5.000,150.076,1.680,0.982,True,completed,57.308,1.680,0
Street Loop Reverse,tourer,36,-3,5.000,150.090,1.680,0.982,True,completed,57.306,1.680,0
Street Loop Reverse,tourer,36,0,5.000,150.130,1.700,0.981,True,completed,57.875,1.700,0
Street Loop Reverse,tourer,36,-4.7,7.160,150.336,0.520,0.748,True,completed,0.000,0.000,0
Street Loop Reverse,tourer,36,1.7,7.160,150.192,0.520,0.769,True,completed,0.000,0.000,0
Street Loop Reverse,moto,12,-1.5,13.340,150.023,0.220,0.980,True,completed,0.000,0.000,0
Street Loop Reverse,moto,12,-3,13.460,150.056,0.220,0.980,True,completed,0.000,0.000,0
Street Loop Reverse,moto,12,0,13.420,150.133,0.220,0.980,True,completed,0.000,0.000,0
Street Loop Reverse,moto,12,-4.7,13.840,150.161,0.200,0.539,True,completed,0.000,0.000,0
Street Loop Reverse,moto,12,1.7,13.560,150.179,0.300,0.943,True,completed,3.840,0.300,0
Street Loop Reverse,moto,24,-1.5,7.700,150.325,0.960,0.981,True,completed,20.435,0.960,0
Street Loop Reverse,moto,24,-3,8.440,150.155,0.800,0.973,True,completed,16.026,0.800,0
Street Loop Reverse,moto,24,0,8.060,150.165,1.020,0.980,True,completed,17.230,0.840,0
