woodland-01,Dan's fence,471.624,78.258,26.846
woodland-02,Kyle's turning,470.306,86.066,-20.257
woodland-03,House 2 approach,489.791,89.526,-86.813
woodland-04,Wooded descent,534.049,58.886,-182.160
woodland-05,North bend,463.486,83.529,74.453
woodland-06,Pine shoulder,424.729,81.274,145.252
woodland-07,Hilltop,317.585,61.237,343.077
woodland-08,Market verge,318.196,11.455,536.787
woodland-09,Old highway,20.387,8.962,527.716
woodland-10,Western woods,-350.037,9.739,530.396
woodland-11,Trickum approach,-628.635,9.826,149.882
woodland-12,Southern return,-368.177,8.309,-559.008
woodland-13,Lake gateway,726.060,84.204,-112.811
woodland-14,Creek approach,806.898,95.918,-127.130
woodland-15,Fern landing,876.351,114.936,-86.288
woodland-16,Pine climb,955.305,127.798,-75.305
woodland-17,High clearing,1031.310,142.544,-49.979
woodland-18,Ridge lip,1050.260,151.775,28.388
woodland-19,Summit overlook,1007.144,166.458,97.880
woodland-20,North saddle,943.997,161.800,146.158
woodland-21,Switchback,866.893,138.379,145.799
woodland-22,Laurel descent,821.398,121.361,81.314
woodland-23,Lake view,752.594,93.621,65.562
woodland-24,Homeward woods,697.212,79.578,35.975
