lip,station,lateral,x,y,z,nx,ny,nz,collider
213,133,-16,812.589,94.300,-110.271,-0.559,0.791,0.249,Ground_Mountain_0_1
213,133,-7,814.261,96.918,-119.115,-0.251,0.968,-0.002,Ground_Mountain_0_1
213,133,0,815.561,97.008,-125.993,-0.237,0.971,-0.031,Ground_Mountain_0_1
213,133,7,816.862,97.034,-132.871,-0.194,0.980,-0.036,Ground_Mountain_0_1
213,133,16,818.534,94.652,-141.714,-0.177,0.866,-0.468,Ground_Mountain_0_1
213,135,-16,814.072,95.244,-109.968,-0.523,0.711,0.471,Ground_Mountain_0_1
213,135,-7,815.983,97.400,-118.763,-0.276,0.961,-0.029,Ground_Mountain_0_1
213,135,0,817.470,97.455,-125.603,-0.216,0.976,-0.036,Ground_Mountain_0_1
213,135,7,818.957,97.456,-132.443,-0.178,0.982,-0.058,Ground_Mountain_0_1
213,135,16,820.868,95.394,-141.238,-0.141,0.851,-0.506,Ground_Mountain_0_1
213,137,-16,815.531,96.090,-109.623,-0.523,0.711,0.471,Ground_Mountain_0_1
213,137,-7,817.693,97.836,-118.360,-0.243,0.969,-0.044,Ground_Mountain_0_1
213,137,0,819.374,97.869,-125.155,-0.199,0.979,-0.050,Ground_Mountain_0_1
213,137,7,821.055,97.847,-131.950,-0.161,0.986,-0.046,Ground_Mountain_0_1
213,137,16,823.217,96.171,-140.687,-0.163,0.792,-0.588,Ground_Mountain_0_1
213,139,-16,816.804,96.794,-109.267,-0.452,0.810,0.374,Ground_Mountain_0_1
213,139,-7,819.312,98.279,-117.911,-0.254,0.966,-0.046,Ground_Mountain_0_1
213,139,0,821.264,98.262,-124.633,-0.189,0.980,-0.057,Ground_Mountain_0_1
213,139,7,823.215,98.251,-131.356,-0.176,0.983,-0.052,Ground_Mountain_0_1
213,139,16,825.724,97.060,-139.999,-0.120,0.945,-0.306,Ground_Mountain_0_1
213,141,-16,817.894,97.469,-108.896,-0.614,0.770,0.173,Ground_Mountain_0_1
213,141,-7,820.837,98.674,-117.401,-0.217,0.975,-0.053,Ground_Mountain_0_1
213,141,0,823.125,98.654,-124.017,-0.186,0.980,-0.064,Ground_Mountain_0_1
213,141,7,825.414,98.622,-130.632,-0.155,0.987,-0.042,Ground_Mountain_0_1
213,141,16,828.357,97.664,-139.137,0.094,0.939,-0.330,Ground_Mountain_0_1
213,143,-16,818.968,98.129,-108.460,-0.641,0.765,-0.059,Ground_Mountain_0_1
213,143,-7,822.333,99.108,-116.807,-0.211,0.971,-0.111,Ground_Mountain_0_1
213,143,0,824.950,99.050,-123.300,-0.181,0.981,-0.075,Ground_Mountain_0_1
213,143,7,827.567,99.023,-129.792,-0.167,0.983,-0.075,Ground_Mountain_0_1
213,143,16,830.932,98.376,-138.139,-0.028,0.739,-0.673,Ground_Mountain_0_1
213,145,-16,819.351,98.463,-108.283,-0.641,0.765,-0.059,Ground_Mountain_0_1
213,145,-7,823.501,99.432,-116.269,-0.218,0.969,-0.118,Ground_Mountain_0_1
213,145,0,826.729,99.454,-122.481,-0.184,0.978,-0.094,Ground_Mountain_0_1
213,145,7,829.956,99.485,-128.692,-0.155,0.986,-0.059,Ground_Mountain_0_1
213,145,16,834.106,98.939,-136.678,0.245,0.852,-0.462,Ground_Mountain_0_1
213,147,-16,820.450,99.101,-107.711,-0.363,0.863,0.351,Ground_Mountain_0_1
213,147,-7,824.954,99.845,-115.503,-0.207,0.970,-0.125,Ground_Mountain_0_1
213,147,0,828.457,99.868,-121.564,-0.177,0.979,-0.102,Ground_Mountain_0_1
213,147,7,831.960,99.867,-127.624,-0.157,0.982,-0.103,Ground_Mountain_0_1
213,147,16,836.463,99.308,-135.416,0.194,0.947,-0.257,Ground_Mountain_0_1
213,149,-16,821.556,99.439,-107.056,-0.570,0.815,0.104,Ground_Mountain_0_1
213,149,-7,826.383,100.268,-114.653,-0.198,0.971,-0.134,Ground_Mountain_0_1
213,149,0,830.138,100.279,-120.561,-0.169,0.980,-0.105,Ground_Mountain_0_1
213,149,7,833.892,100.284,-126.469,-0.150,0.983,-0.103,Ground_Mountain_0_1
213,149,16,838.719,99.761,-134.065,0.098,0.729,-0.677,Ground_Mountain_0_1
213,151,-16,822.672,99.920,-106.319,-0.450,0.887,-0.099,Ground_Mountain_0_1
213,151,-7,827.790,100.687,-113.722,-0.208,0.968,-0.141,Ground_Mountain_0_1
213,151,0,831.770,100.690,-119.481,-0.173,0.977,-0.121,Ground_Mountain_0_1
213,151,7,835.750,100.677,-125.239,-0.152,0.983,-0.101,Ground_Mountain_0_1
213,151,16,840.867,99.950,-132.643,0.040,0.809,-0.586,Ground_Mountain_0_1
213,153,-16,823.800,100.359,-105.499,-0.648,0.748,0.145,Ground_Mountain_0_1
213,153,-7,829.174,101.107,-112.718,-0.191,0.971,-0.144,Ground_Mountain_0_1
213,153,0,833.354,101.100,-118.333,-0.165,0.979,-0.122,Ground_Mountain_0_1
213,153,7,837.534,101.102,-123.948,-0.161,0.980,-0.119,Ground_Mountain_0_1
213,153,16,842.909,100.294,-131.167,0.276,0.934,-0.227,Ground_Mountain_0_1
213,155,-16,824.943,100.741,-104.598,-0.481,0.876,-0.028,Ground_Mountain_0_1
213,155,-7,830.542,101.527,-111.645,-0.176,0.974,-0.144,Ground_Mountain_0_1
213,155,0,834.896,101.508,-117.126,-0.157,0.979,-0.128,Ground_Mountain_0_1
213,155,7,839.250,101.495,-122.607,-0.142,0.983,-0.115,Ground_Mountain_0_1
213,155,16,844.848,100.813,-129.654,0.257,0.950,-0.179,Ground_Mountain_0_1
213,157,-16,825.819,101.137,-103.862,-0.402,0.732,0.550,Ground_Mountain_0_1
213,157,-7,831.768,101.906,-110.616,-0.180,0.972,-0.148,Ground_Mountain_0_1
213,157,0,836.395,101.921,-115.868,-0.154,0.979,-0.136,Ground_Mountain_0_1
213,157,7,841.022,101.919,-121.121,-0.133,0.984,-0.119,Ground_Mountain_0_1
213,157,16,846.971,101.318,-127.875,0.186,0.964,-0.189,Ground_Mountain_0_1
213,159,-16,827.053,101.424,-102.770,-0.532,0.847,-0.009,Ground_Mountain_0_1
213,159,-7,833.131,102.322,-109.407,-0.165,0.976,-0.144,Ground_Mountain_0_1
213,159,0,837.859,102.332,-114.569,-0.154,0.979,-0.136,Ground_Mountain_0_1
213,159,7,842.587,102.345,-119.731,-0.134,0.983,-0.125,Ground_Mountain_0_1
213,159,16,848.665,101.549,-126.368,0.121,0.724,-0.679,Ground_Mountain_0_1
213,161,-16,828.311,101.994,-101.607,-0.299,0.902,0.312,Ground_Mountain_0_1
213,161,-7,834.490,102.741,-108.150,-0.155,0.977,-0.146,Ground_Mountain_0_1
213,161,0,839.297,102.739,-113.240,-0.148,0.979,-0.140,Ground_Mountain_0_1
213,161,7,844.103,102.739,-118.329,-0.123,0.984,-0.132,Ground_Mountain_0_1
213,161,16,850.282,101.990,-124.872,0.501,0.792,-0.348,Ground_Mountain_0_1
213,163,-16,829.596,102.409,-100.381,-0.558,0.830,0.005,Ground_Mountain_0_1
213,163,-7,835.849,103.142,-106.854,-0.164,0.976,-0.140,Ground_Mountain_0_1
213,163,0,840.713,103.146,-111.888,-0.146,0.979,-0.141,Ground_Mountain_0_1
213,163,7,845.577,103.139,-116.922,-0.141,0.980,-0.139,Ground_Mountain_0_1
213,163,16,851.831,102.445,-123.395,-0.076,0.915,-0.395,Ground_Mountain_0_1
213,165,-16,830.913,102.619,-99.098,-0.282,0.896,0.344,Ground_Mountain_0_1
213,165,-7,837.215,103.545,-105.524,-0.151,0.979,-0.138,Ground_Mountain_0_1
213,165,0,842.116,103.552,-110.521,-0.144,0.979,-0.141,Ground_Mountain_0_1
213,165,7,847.017,103.549,-115.519,-0.142,0.980,-0.142,Ground_Mountain_0_1
213,165,16,853.319,102.867,-121.945,0.151,0.972,-0.179,Ground_Mountain_0_1
213,167,-16,832.265,103.283,-97.766,-0.277,0.886,0.371,Ground_Mountain_0_1
213,167,-7,838.591,103.956,-104.167,-0.145,0.979,-0.142,Ground_Mountain_0_1
213,167,0,843.511,103.957,-109.147,-0.144,0.979,-0.142,Ground_Mountain_0_1
213,167,7,848.431,103.954,-114.126,-0.141,0.978,-0.155,Ground_Mountain_0_1
213,167,16,854.757,103.013,-120.528,0.123,0.731,-0.671,Ground_Mountain_0_1
213,169,-16,833.657,103.640,-96.390,-0.576,0.817,0.021,Ground_Mountain_0_1
213,169,-7,839.984,104.357,-102.791,-0.151,0.979,-0.139,Ground_Mountain_0_1
213,169,0,844.904,104.362,-107.770,-0.144,0.979,-0.142,Ground_Mountain_0_1
213,169,7,849.825,104.362,-112.749,-0.146,0.978,-0.147,Ground_Mountain_0_1
213,169,16,856.151,103.576,-119.150,0.510,0.784,-0.355,Ground_Mountain_0_1
213,171,-16,835.093,103.803,-94.979,-0.583,0.812,0.032,Ground_Mountain_0_1
213,171,-7,841.397,104.760,-101.402,-0.145,0.981,-0.132,Ground_Mountain_0_1
213,171,0,846.301,104.766,-106.397,-0.144,0.979,-0.142,Ground_Mountain_0_1
213,171,7,851.205,104.763,-111.392,-0.142,0.980,-0.142,Ground_Mountain_0_1
213,171,16,857.510,103.985,-117.815,0.159,0.968,-0.194,Ground_Mountain_0_1
213,173,-16,836.576,104.374,-93.540,-0.275,0.864,0.423,Ground_Mountain_0_1
213,173,-7,842.837,105.164,-100.005,-0.140,0.981,-0.135,Ground_Mountain_0_1
213,173,0,847.707,105.170,-105.033,-0.145,0.979,-0.140,Ground_Mountain_0_1
213,173,7,852.577,105.173,-110.061,-0.150,0.975,-0.161,Ground_Mountain_0_1
213,173,16,858.838,104.172,-116.526,0.112,0.715,-0.691,Ground_Mountain_0_1
213,175,-16,838.110,104.934,-92.080,-0.322,0.942,-0.090,Ground_Mountain_0_1
213,175,-7,844.307,105.557,-98.607,-0.141,0.982,-0.128,Ground_Mountain_0_1
213,175,0,849.127,105.576,-103.684,-0.148,0.980,-0.137,Ground_Mountain_0_1
213,175,7,853.946,105.584,-108.760,-0.155,0.977,-0.150,Ground_Mountain_0_1
213,175,16,860.143,104.744,-115.287,0.489,0.790,-0.370,Ground_Mountain_0_1
213,177,-16,839.698,105.205,-90.608,-0.601,0.794,0.088,Ground_Mountain_0_1
213,177,-7,845.810,105.969,-97.215,-0.147,0.981,-0.124,Ground_Mountain_0_1
213,177,0,850.564,105.980,-102.353,-0.150,0.979,-0.139,Ground_Mountain_0_1
213,177,7,855.317,105.998,-107.492,-0.159,0.977,-0.145,Ground_Mountain_0_1
213,177,16,861.429,105.182,-114.098,0.079,0.713,-0.697,Ground_Mountain_0_1
213,179,-16,841.345,105.430,-89.130,-0.617,0.778,0.118,Ground_Mountain_0_1
213,179,-7,847.351,106.364,-95.832,-0.141,0.983,-0.116,Ground_Mountain_0_1
213,179,0,852.022,106.384,-101.046,-0.155,0.979,-0.134,Ground_Mountain_0_1
213,179,7,856.694,106.388,-106.259,-0.163,0.973,-0.161,Ground_Mountain_0_1
213,179,16,862.700,105.279,-112.961,0.468,0.805,-0.365,Ground_Mountain_0_1
213,181,-16,843.048,105.952,-87.655,-0.308,0.776,0.550,Ground_Mountain_0_1
213,181,-7,848.930,106.781,-94.467,-0.142,0.983,-0.119,Ground_Mountain_0_1
213,181,0,853.504,106.792,-99.766,-0.154,0.979,-0.132,Ground_Mountain_0_1
213,181,7,858.079,106.802,-105.065,-0.162,0.976,-0.146,Ground_Mountain_0_1
213,181,16,863.960,106.010,-111.877,-0.136,0.907,-0.398,Ground_Mountain_0_1
213,183,-16,844.814,106.480,-86.189,-0.413,0.910,-0.046,Ground_Mountain_0_1
213,183,-7,850.551,107.170,-93.124,-0.144,0.984,-0.109,Ground_Mountain_0_1
213,183,0,855.013,107.196,-98.517,-0.157,0.979,-0.130,Ground_Mountain_0_1
213,183,7,859.475,107.223,-103.910,-0.172,0.975,-0.139,Ground_Mountain_0_1
213,183,16,865.212,106.066,-110.845,0.008,0.743,-0.670,Ground_Mountain_0_1
