route,station,x,y,z,obstacle
Mountain return trails / exploration only,0.0,690.00,79.02,-95.00,
Mountain return trails / exploration only,5.0,694.48,79.53,-97.16,
Mountain return trails / exploration only,10.0,698.90,80.03,-99.45,
Mountain return trails / exploration only,15.0,703.30,80.53,-101.76,
Mountain return trails / exploration only,20.0,707.72,81.03,-104.05,
Mountain return trails / exploration only,25.0,712.15,81.54,-106.30,
Mountain return trails / exploration only,30.0,716.62,82.06,-108.49,
Mountain return trails / exploration only,35.0,721.12,82.60,-110.61,
Mountain return trails / exploration only,40.0,725.65,83.15,-112.63,
Mountain return trails / exploration only,45.0,730.24,83.73,-114.55,
Mountain return trails / exploration only,50.0,734.87,84.33,-116.32,
Mountain return trails / exploration only,55.0,739.57,84.95,-117.93,
Mountain return trails / exploration only,60.0,744.32,85.62,-119.33,
Mountain return trails / exploration only,65.0,749.13,86.31,-120.49,
Mountain return trails / exploration only,70.0,753.96,87.02,-121.57,
Mountain return trails / exploration only,75.0,758.80,87.74,-122.60,
Mountain return trails / exploration only,80.0,763.65,88.46,-123.56,
Mountain return trails / exploration only,85.0,768.52,89.20,-124.45,
Mountain return trails / exploration only,90.0,773.40,89.94,-125.26,
Mountain return trails / exploration only,95.0,778.29,90.71,-125.96,
Mountain return trails / exploration only,100.0,783.19,91.48,-126.55,
Mountain return trails / exploration only,105.0,788.11,92.27,-127.00,
Mountain return trails / exploration only,110.0,793.03,93.09,-127.30,
Mountain return trails / exploration only,115.0,797.96,93.92,-127.43,
Mountain return trails / exploration only,120.0,802.93,94.41,-127.36,
Mountain return trails / exploration only,125.0,807.87,95.12,-127.05,
Mountain return trails / exploration only,130.0,812.69,96.28,-126.48,
Mountain return trails / exploration only,135.0,817.47,97.46,-125.60,
Mountain return trails / exploration only,140.0,822.20,98.46,-124.34,
Mountain return trails / exploration only,145.0,826.73,99.45,-122.48,
Mountain return trails / exploration only,150.0,830.97,100.48,-120.03,
Mountain return trails / exploration only,155.0,834.90,101.51,-117.12,
Mountain return trails / exploration only,160.0,838.58,102.54,-113.91,
Mountain return trails / exploration only,165.0,842.12,103.55,-110.52,
Mountain return trails / exploration only,170.0,845.60,104.56,-107.08,
Mountain return trails / exploration only,175.0,849.13,105.58,-103.68,
Mountain return trails / exploration only,180.0,852.76,106.59,-100.40,
Mountain return trails / exploration only,185.0,856.55,107.60,-97.30,
Mountain return trails / exploration only,190.0,860.51,108.64,-94.43,
Mountain return trails / exploration only,195.0,864.62,109.84,-91.85,
Mountain return trails / exploration only,200.0,868.85,111.21,-89.56,
Mountain return trails / exploration only,205.0,873.17,112.74,-87.56,
Mountain return trails / exploration only,210.0,877.55,114.41,-85.84,
Mountain return trails / exploration only,215.0,881.99,116.21,-84.39,
Mountain return trails / exploration only,220.0,886.65,116.41,-83.17,
Mountain return trails / exploration only,225.0,891.01,114.14,-82.23,
Mountain return trails / exploration only,230.0,895.72,113.10,-81.38,
Mountain return trails / exploration only,235.0,900.59,113.97,-80.63,
Mountain return trails / exploration only,240.0,905.46,114.90,-79.98,
Mountain return trails / exploration only,245.0,910.31,115.96,-79.40,
Mountain return trails / exploration only,250.0,915.14,117.14,-78.88,
Mountain return trails / exploration only,255.0,919.95,118.41,-78.41,
Mountain return trails / exploration only,260.0,924.76,119.72,-77.97,
Mountain return trails / exploration only,265.0,929.56,121.05,-77.55,
Mountain return trails / exploration only,270.0,934.37,122.34,-77.14,
Mountain return trails / exploration only,275.0,939.20,123.57,-76.73,
Mountain return trails / exploration only,280.0,944.05,124.70,-76.32,
Mountain return trails / exploration only,285.0,948.94,125.66,-75.89,
Mountain return trails / exploration only,290.0,953.84,126.54,-75.44,
Mountain return trails / exploration only,295.0,958.74,127.41,-74.97,
Mountain return trails / exploration only,300.0,963.64,128.28,-74.46,
Mountain return trails / exploration only,305.0,968.53,129.16,-73.91,
Mountain return trails / exploration only,310.0,973.42,130.04,-73.30,
Mountain return trails / exploration only,315.0,978.29,130.92,-72.62,
Mountain return trails / exploration only,320.0,983.15,131.81,-71.87,
Mountain return trails / exploration only,325.0,988.00,132.70,-71.02,
