x,y,z
515.098,81.788,-132.691
514.357,81.861,-133.014
513.410,81.995,-133.419
512.286,82.157,-133.897
511.016,82.318,-134.444
509.627,82.444,-135.051
508.151,82.506,-135.714
506.616,82.471,-136.423
505.052,82.309,-137.174
503.963,82.121,-137.658
502.798,81.878,-138.098
501.569,81.587,-138.517
500.292,81.256,-138.936
498.981,80.891,-139.379
497.648,80.499,-139.867
496.309,80.089,-140.423
494.977,79.666,-141.070
493.666,79.239,-141.828
492.390,78.814,-142.721
491.164,78.399,-143.771
490.000,78.000,-145.000
489.310,77.761,-145.873
488.658,77.533,-146.815
488.039,77.312,-147.821
487.448,77.098,-148.887
486.879,76.887,-150.007
486.326,76.677,-151.179
485.783,76.466,-152.396
485.245,76.251,-153.656
484.706,76.031,-154.953
484.160,75.803,-156.283
483.602,75.564,-157.641
483.025,75.313,-159.024
482.425,75.046,-160.426
481.794,74.762,-161.843
481.129,74.458,-163.271
480.423,74.133,-164.705
479.669,73.783,-166.141
478.864,73.406,-167.574
478.000,73.000,-169.000
477.342,72.685,-170.052
476.674,72.356,-171.130
475.995,72.013,-172.232
475.306,71.658,-173.355
474.606,71.291,-174.497
473.893,70.912,-175.657
473.167,70.523,-176.831
472.427,70.123,-178.018
471.673,69.715,-179.215
470.904,69.297,-180.420
470.119,68.872,-181.631
469.318,68.439,-182.846
468.500,68.000,-184.063
467.664,67.555,-185.278
466.810,67.104,-186.491
465.936,66.650,-187.698
465.043,66.191,-188.898
464.129,65.729,-190.089
463.194,65.264,-191.267
462.238,64.798,-192.432
461.258,64.330,-193.580
460.256,63.863,-194.710
459.229,63.395,-195.819
458.178,62.928,-196.905
457.102,62.463,-197.966
456.000,62.000,-199.000
455.012,61.596,-199.877
453.984,61.185,-200.743
452.918,60.768,-201.597
451.816,60.344,-202.440
450.683,59.914,-203.273
449.520,59.480,-204.096
448.330,59.041,-204.909
447.117,58.599,-205.714
445.883,58.153,-206.509
444.630,57.704,-207.296
443.361,57.253,-208.076
442.080,56.800,-208.848
440.789,56.346,-209.613
439.490,55.892,-210.372
438.188,55.438,-211.125
436.883,54.984,-211.872
435.580,54.531,-212.615
434.280,54.080,-213.352
432.987,53.631,-214.085
431.704,53.185,-214.815
430.433,52.743,-215.541
429.176,52.304,-216.264
427.938,51.869,-216.985
426.720,51.440,-217.704
425.526,51.016,-218.421
424.357,50.599,-219.138
423.218,50.188,-219.853
422.110,49.784,-220.568
421.036,49.388,-221.284
420.000,49.000,-222.000
418.693,48.501,-222.964
417.424,48.004,-223.979
416.189,47.511,-225.038
414.987,47.020,-226.131
413.814,46.534,-227.250
412.669,46.052,-228.387
411.549,45.575,-229.532
410.451,45.103,-230.678
409.373,44.636,-231.814
408.313,44.177,-232.934
407.268,43.724,-234.028
406.235,43.278,-235.087
405.212,42.840,-236.104
404.198,42.411,-237.068
403.188,41.990,-237.973
402.181,41.579,-238.808
401.174,41.177,-239.566
400.165,40.786,-240.237
399.151,40.405,-240.814
398.130,40.036,-241.287
397.100,39.678,-241.649
396.057,39.333,-241.889
395.000,39.000,-242.000
393.805,38.650,-241.975
392.560,38.312,-241.812
391.274,37.988,-241.519
389.955,37.677,-241.105
388.612,37.378,-240.578
387.254,37.090,-239.948
385.889,36.815,-239.222
384.526,36.551,-238.411
383.175,36.297,-237.522
381.843,36.055,-236.564
380.540,35.823,-235.547
379.274,35.601,-234.478
378.054,35.388,-233.367
376.889,35.185,-232.222
375.787,34.991,-231.053
374.758,34.806,-229.867
373.809,34.629,-228.673
372.950,34.461,-227.481
372.190,34.300,-226.299
371.537,34.146,-225.136
371.000,34.000,-224.000
370.545,33.859,-222.778
370.176,33.734,-221.469
369.892,33.624,-220.084
369.688,33.528,-218.632
369.563,33.445,-217.125
369.512,33.375,-215.573
369.534,33.314,-213.987
369.624,33.264,-212.376
369.781,33.222,-210.752
370.000,33.188,-209.125
370.280,33.159,-207.506
370.616,33.136,-205.904
371.007,33.117,-204.331
371.448,33.101,-202.797
371.938,33.086,-201.313
372.472,33.072,-199.888
373.049,33.058,-198.534
373.664,33.042,-197.261
374.316,33.023,-196.080
375.000,33.000,-195.000
375.823,32.975,-193.895
376.734,32.956,-192.855
377.727,32.942,-191.877
378.797,32.933,-190.960
379.939,32.928,-190.101
381.148,32.926,-189.296
382.419,32.927,-188.544
383.746,32.931,-187.842
385.125,32.938,-187.188
386.550,32.945,-186.578
388.016,32.954,-186.010
389.519,32.963,-185.482
391.052,32.972,-184.990
