woodland-01,Dan's fence,Neighborhood woodland,473.624,78.263,26.902,473.624,77.263,26.902
woodland-02,Kyle's turning,Neighborhood woodland,472.307,86.096,-20.419,472.307,85.096,-20.419
woodland-03,Behind the pines,Neighborhood woodland,464.868,88.810,-99.575,491.558,88.527,-85.877
woodland-04,Woodland nook,Neighborhood woodland,507.987,54.231,-192.402,535.742,58.113,-181.015
woodland-05,Quiet gully,Neighborhood woodland,436.379,82.889,67.435,465.372,82.562,75.140
woodland-06,Old stone corner,Neighborhood woodland,402.928,80.705,127.680,426.386,80.297,146.382
woodland-07,Fallen log pocket,Neighborhood woodland,289.595,60.828,342.318,319.590,60.305,342.863
woodland-08,Cairn hollow,Neighborhood woodland,290.203,8.544,536.118,320.199,10.490,536.638
woodland-09,Behind the pines,Western gullies,22.024,8.524,499.764,20.275,7.962,529.713
woodland-10,Woodland nook,Western gullies,-351.022,9.321,502.413,-349.960,8.739,532.394
woodland-11,Quiet gully,Western gullies,-600.639,9.251,150.319,-630.635,8.826,149.854
woodland-12,Old stone corner,Western gullies,-365.014,7.903,-531.187,-368.338,7.313,-561.002
woodland-13,Fallen log pocket,Creek pockets,737.853,80.518,-85.226,726.164,83.217,-112.856
woodland-14,Cairn hollow,Creek pockets,808.180,91.808,-143.080,807.056,94.947,-127.119
woodland-15,Behind the pines,Creek pockets,882.325,112.897,-101.134,876.647,114.053,-86.176
woodland-16,Woodland nook,Creek pockets,894.176,111.351,-61.371,897.343,113.368,-81.119
woodland-17,Quiet gully,Creek pockets,1019.877,146.786,27.359,1048.944,151.710,34.779
woodland-18,Old stone corner,Creek pockets,1034.444,147.927,25.968,1050.239,150.794,28.521
woodland-19,Fallen log pocket,Ridge woodland,985.163,165.299,77.461,1006.942,165.552,98.093
woodland-20,Cairn hollow,Ridge woodland,932.569,156.075,118.419,944.132,160.821,146.102
woodland-21,Behind the pines,Ridge woodland,878.255,131.297,118.038,867.196,137.501,145.925
woodland-22,Woodland nook,Ridge woodland,848.681,115.975,68.837,821.462,120.385,81.453
woodland-23,Quiet gully,Ridge woodland,753.244,86.873,95.557,752.913,92.733,65.559
woodland-24,Old stone corner,Ridge woodland,706.659,81.222,48.888,697.135,79.028,36.032
