time,x,y,z,speed,wheels,up,target
0.020,809.995,150.959,190.006,0.360,4,1.000,1
0.040,809.986,150.956,190.017,0.718,4,1.000,1
0.060,809.972,150.953,190.034,1.073,4,1.000,1
0.080,809.954,150.949,190.056,1.427,4,1.000,1
0.100,809.931,150.945,190.083,1.779,4,1.000,1
0.120,809.903,150.940,190.116,2.129,4,1.000,1
0.140,809.871,150.935,190.155,2.477,4,1.000,1
0.160,809.835,150.930,190.198,2.823,4,1.000,1
0.180,809.794,150.925,190.247,3.167,4,1.000,1
0.200,809.749,150.921,190.301,3.509,4,1.000,1
0.220,809.699,150.916,190.361,3.849,4,1.000,1
0.240,809.646,150.912,190.425,4.188,4,1.000,1
0.260,809.587,150.907,190.495,4.524,4,1.000,1
0.280,809.525,150.903,190.570,4.859,4,1.000,1
0.300,809.458,150.899,190.650,5.192,4,1.000,1
0.320,809.387,150.895,190.735,5.523,4,1.000,1
0.340,809.312,150.891,190.825,5.852,4,1.000,1
0.360,809.233,150.888,190.921,6.179,4,1.000,1
0.380,809.149,150.884,191.021,6.505,4,1.000,1
0.400,809.062,150.879,191.126,6.796,4,1.000,1
0.420,808.972,150.875,191.234,7.029,4,1.000,1
0.440,808.879,150.870,191.345,7.217,4,1.000,1
0.460,808.785,150.866,191.458,7.369,4,1.000,1
0.480,808.689,150.861,191.574,7.492,4,1.000,1
0.500,808.591,150.856,191.690,7.591,4,0.999,1
0.520,808.493,150.850,191.808,7.672,4,0.999,1
0.540,808.394,150.845,191.927,7.737,4,0.999,1
0.560,808.294,150.839,192.047,7.790,4,0.999,1
0.580,808.194,150.833,192.167,7.833,4,0.999,1
0.600,808.093,150.827,192.288,7.868,4,0.999,1
0.620,807.992,150.821,192.410,7.897,4,0.999,1
0.640,807.891,150.815,192.531,7.920,4,0.999,1
0.660,807.790,150.809,192.652,7.868,4,0.999,1
0.680,807.689,150.802,192.773,7.897,4,0.999,1
0.700,807.588,150.796,192.895,7.920,4,0.999,1
0.720,807.487,150.790,193.016,7.868,4,0.999,1
0.740,807.386,150.783,193.137,7.897,4,0.999,1
0.760,807.284,150.777,193.259,7.920,4,0.999,1
0.780,807.184,150.770,193.380,7.868,4,0.999,1
0.800,807.083,150.764,193.501,7.897,4,0.999,1
0.820,806.981,150.758,193.622,7.920,4,0.999,1
0.840,806.881,150.752,193.743,7.868,4,0.999,1
