Approximate older residence|(-132.000000, 29.828000, -540.100000)|(0.000000, 0.999806, 0.000000, 0.019702)
Approximate older residence|(143.000000, 38.244560, -242.000000)|(0.000000, 0.990916, 0.000000, -0.134480)
Approximate older residence|(244.200000, 36.853270, -412.500000)|(0.000000, 0.286663, 0.000000, 0.958032)
Approximate older residence|(-311.300000, 13.594110, -522.500000)|(0.000000, 0.996932, 0.000000, -0.078278)
Approximate older residence|(-38.500000, 36.117480, -396.000000)|(0.000000, 0.749237, 0.000000, 0.662302)
Approximate older residence|(385.000000, 32.129120, -506.000000)|(0.000000, 0.473128, 0.000000, 0.880994)
Approximate older residence|(44.000000, 30.381200, -451.000000)|(0.000000, -0.679484, 0.000000, 0.733690)
Approximate older residence|(-576.400000, 5.352605, -440.000000)|(0.000000, -0.716315, 0.000000, 0.697777)
Approximate older residence|(-581.900000, 7.155913, -22.000000)|(0.000000, -0.713313, 0.000000, 0.700846)
Approximate older residence|(583.000000, 30.505480, -429.000000)|(0.000000, -0.684185, 0.000000, 0.729309)
Approximate older residence|(-585.200000, 7.329132, -198.000000)|(0.000000, -0.712178, 0.000000, 0.701999)
Approximate older residence|(-587.400000, 8.719550, 247.500000)|(0.000000, -0.712989, 0.000000, 0.701175)
Approximate older residence|(-590.700000, 7.966263, 143.000000)|(0.000000, -0.712730, 0.000000, 0.701439)
Approximate older residence|(-61.600000, 33.501420, -511.500000)|(0.000000, 0.751367, 0.000000, 0.659884)
Approximate older residence|(-665.500000, 8.500742, 319.000000)|(0.000000, 0.703621, 0.000000, 0.710575)
Approximate older residence|(-667.700000, 6.100289, -374.000000)|(0.000000, 0.700201, 0.000000, 0.713946)
Approximate older residence|(-667.700000, 7.615209, -71.500000)|(0.000000, 0.701594, 0.000000, 0.712577)
Approximate older residence|(-668.800000, 7.394876, 66.000000)|(0.000000, 0.700632, 0.000000, 0.713523)
Approximate older residence|(-669.900000, 7.226384, -242.000000)|(0.000000, 0.701520, 0.000000, 0.712649)
Approximate older residence|(88.000000, 39.244660, -341.000000)|(0.000000, 0.096751, 0.000000, 0.995309)
CR019 N01 business|(-428.906700, 7.466697, 565.351200)|(0.000000, 0.999834, 0.000000, -0.018224)
CR019 N02 business|(-509.874600, 7.313893, 571.648300)|(0.000000, 0.999481, 0.000000, -0.032220)
CR019 N03 business|(-269.423000, 8.677355, 561.098000)|(0.000000, 0.999957, 0.000000, -0.009306)
CR019 N04 business|(-373.729900, 7.916772, 567.283000)|(0.000000, 0.999826, 0.000000, -0.018681)
CR019 N05 business|(-152.946300, 7.749742, 561.110600)|(0.000000, 1.000000, 0.000000, -0.000839)
CR019 N06 business|(-217.752200, 8.334902, 558.413800)|(0.000000, 0.999991, 0.000000, -0.004272)
CR019 N07 business|(14.596210, 7.410026, 559.460500)|(0.000000, 0.999726, 0.000000, 0.023403)
CR019 N08 business|(-35.839180, 7.390527, 562.864400)|(0.000000, 0.999997, 0.000000, -0.002365)
CR019 N09 business|(158.000900, 8.395267, 579.348600)|(0.000000, 0.998827, 0.000000, 0.048429)
CR019 N10 business|(77.932380, 8.522350, 575.408400)|(0.000000, 0.998092, 0.000000, 0.061748)
CR019 N11 business|(226.293500, 7.881491, 591.817700)|(0.000000, 0.997590, 0.000000, 0.069381)
CR019 S01 business|(-539.883700, 7.477387, 509.478300)|(0.000000, 0.030397, 0.000000, 0.999538)
CR019 S02 business|(-392.096600, 8.018725, 504.928800)|(0.000000, 0.018910, 0.000000, 0.999821)
CR019 S03 business|(-492.584200, 7.565630, 504.540900)|(0.000000, 0.024010, 0.000000, 0.999712)
CR019 S04 business|(-283.778000, 8.680754, 496.379900)|(0.000000, 0.011441, 0.000000, 0.999935)
CR019 S05 business|(-333.035300, 8.438037, 500.793400)|(0.000000, 0.016700, 0.000000, 0.999861)
CR019 S06 business|(-127.005000, 7.648129, 496.091200)|(0.000000, 0.000076, 0.000000, 1.000000)
CR019 S07 business|(-181.123600, 8.154135, 499.186600)|(0.000000, 0.002060, 0.000000, 0.999998)
CR019 S08 business|(50.921960, 7.677571, 501.317900)|(0.000000, -0.108802, 0.000000, 0.994064)
CR019 S09 business|(-70.128330, 7.442635, 500.058600)|(0.000000, 0.002213, 0.000000, 0.999998)
CR019 S10 business|(203.978200, 8.192123, 519.775500)|(0.000000, -0.073407, 0.000000, 0.997302)
CR019 S11 business|(113.823100, 8.417612, 515.197800)|(0.000000, -0.030400, 0.000000, 0.999538)
Dan - blue X|(415.800000, 83.819620, -13.000000)|(0.000000, 0.404438, 0.000000, 0.914566)
Friend across street - blue circle|(511.500000, 84.865520, -35.200000)|(0.000000, -0.777521, 0.000000, 0.628858)
Original house 2|(417.409200, 85.646560, -55.316750)|(0.000000, 0.522801, 0.000000, 0.852455)
Original house 3|(418.000000, 32.754780, -160.000000)|(0.000000, 0.555278, 0.000000, 0.831665)
Remembered house behind southern hairpin|(484.000000, 23.899020, -596.200000)|(0.000000, 0.029683, 0.000000, 0.999559)
