(-0.134158, 29.359330, 247.651300)|(0.000000, 0.000000, 0.000000, 1.000000)|(1.000000, 1.000000, 1.000000)|(0.000000, 0.000000, 0.000000)|(1.000000, 7.009408, 1.000000)
(0.191574, 39.137710, -189.803100)|(0.000000, 0.000000, 0.000000, 1.000000)|(1.000000, 1.000000, 1.000000)|(0.000000, 0.000000, 0.000000)|(1.000000, 4.686309, 1.000000)
(-0.307266, 32.959240, 208.127200)|(0.000000, 0.000000, 0.000000, 1.000000)|(1.000000, 1.000000, 1.000000)|(0.000000, 0.000000, 0.000000)|(1.000000, 5.682658, 1.000000)
(-0.411008, 40.166350, -118.746200)|(0.000000, 0.000000, 0.000000, 1.000000)|(1.000000, 1.000000, 1.000000)|(0.000000, 0.000000, 0.000000)|(1.000000, 4.537149, 1.000000)
(-0.555016, 30.404130, 237.122300)|(0.000000, 0.000000, 0.000000, 1.000000)|(1.000000, 1.000000, 1.000000)|(0.000000, 0.000000, 0.000000)|(1.000000, 6.422701, 1.000000)
(-0.598271, 39.541060, -24.479890)|(0.000000, 0.000000, 0.000000, 1.000000)|(1.000000, 1.000000, 1.000000)|(0.000000, 0.000000, 0.000000)|(1.000000, 6.858789, 1.000000)
(-0.967082, 42.674960, 83.860330)|(0.000000, 0.000000, 0.000000, 1.000000)|(1.000000, 1.000000, 1.000000)|(0.000000, 0.000000, 0.000000)|(1.000000, 7.283658, 1.000000)
(-1.130431, 38.542080, -0.248119)|(0.000000, 0.000000, 0.000000, 1.000000)|(1.000000, 1.000000, 1.000000)|(0.000000, 0.000000, 0.000000)|(1.000000, 4.992257, 1.000000)
(1.344780, 19.920810, 306.220900)|(0.000000, 0.000000, 0.000000, 1.000000)|(1.000000, 1.000000, 1.000000)|(0.000000, 0.000000, 0.000000)|(1.000000, 7.046555, 1.000000)
(-1.461614, 35.681810, -575.690100)|(0.000000, 0.000000, 0.000000, 1.000000)|(1.000000, 1.000000, 1.000000)|(0.000000, 0.000000, 0.000000)|(1.000000, 7.838832, 1.000000)
