NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
original paint=0: activeRenderers=19; materials=7; triangles=7964; colliders=1; size=(1.85, 0.65, 3.70); center=(0.00, 0.05, 0.00); mass=1200; com=(0.00, -0.35, 0.00)
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
original paint=6: activeRenderers=19; materials=7; triangles=7964; colliders=1; size=(1.85, 0.65, 3.70); center=(0.00, 0.05, 0.00); mass=1200; com=(0.00, -0.35, 0.00)
NONBODY tourer Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY tourer Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY tourer Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY tourer Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY tourer Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY tourer Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
tourer paint=0: activeRenderers=19; materials=7; triangles=7964; colliders=1; size=(2.00, 0.80, 4.50); center=(0.00, 0.05, 0.00); mass=1500; com=(0.00, -0.35, 0.00)
NONBODY tourer Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY tourer Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY tourer Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY tourer Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY tourer Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY tourer Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
tourer paint=6: activeRenderers=19; materials=7; triangles=7964; colliders=1; size=(2.00, 0.80, 4.50); center=(0.00, 0.05, 0.00); mass=1500; com=(0.00, -0.35, 0.00)
NONBODY moto Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY moto Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY moto Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
