x,y,z,gap
461.306,84.698,-19.430,0.000
502.327,81.524,-131.039,0.000
468.058,88.101,-60.367,0.000
414.205,83.529,-41.966,0.000
388.980,79.097,-6.416,0.000
414.205,83.529,-41.966,0.000
398.403,79.772,16.519,0.000
478.038,88.433,-83.473,0.000
495.931,85.691,-119.508,0.000
398.403,79.772,16.519,0.000
428.574,82.729,-41.487,0.000
463.744,87.647,-45.481,0.000
387.967,79.032,-41.201,0.000
439.327,78.631,14.989,0.000
439.819,84.799,-40.021,0.000
505.608,76.411,-154.183,0.000
512.806,73.935,-155.087,0.000
428.574,82.729,-41.487,0.000
395.487,79.770,16.604,0.000
477.036,84.602,-124.794,0.000
510.609,80.868,-150.015,0.000
482.649,88.247,-92.603,0.000
498.192,85.162,-122.433,0.000
418.811,83.473,15.925,0.000
389.318,79.095,5.179,0.000
465.979,87.922,-54.069,0.000
389.403,79.095,8.078,0.000
461.506,83.244,-11.172,0.000
468.058,88.101,-60.367,0.000
388.136,79.096,-35.404,0.000
473.619,88.400,-74.085,0.000
500.525,85.299,-121.360,0.000
496.460,85.770,-118.993,0.000
507.623,81.510,-143.127,0.000
389.149,79.096,-0.618,0.000
503.102,81.529,-132.738,0.000
427.579,80.099,15.601,0.000
470.324,88.254,-66.339,0.000
509.468,76.103,-153.326,0.000
436.390,78.733,15.142,0.000
507.747,81.338,-147.174,0.000
461.923,81.738,-3.178,0.000
415.895,83.491,16.010,0.000
499.903,81.837,-125.916,0.000
467.303,88.041,-58.194,0.000
410.064,80.521,16.179,0.000
498.077,76.663,-156.290,0.000
462.898,87.370,-41.053,0.000
473.256,82.862,-125.852,0.000
448.138,78.415,14.529,0.000
481.718,88.306,-90.794,0.000
508.544,81.065,-150.025,0.000
495.579,86.047,-117.267,0.000
516.392,69.508,-163.398,0.000
389.656,79.337,16.774,0.000
395.487,79.770,16.604,0.000
451.075,78.376,14.376,0.000
462.778,78.831,12.329,0.000
433.453,78.851,15.295,0.000
485.457,88.007,-97.983,0.000
471.938,88.337,-70.242,0.000
462.824,78.594,13.764,0.000
496.460,85.770,-118.993,0.000
464.247,87.734,-47.696,0.000
431.385,83.702,-41.121,0.000
498.192,85.162,-122.433,0.000
442.630,85.035,-39.654,0.000
418.811,83.473,15.925,0.000
453.874,86.048,-38.187,0.000
454.013,78.353,14.223,0.000
390.882,79.380,-41.286,0.000
472.771,88.370,-72.170,0.000
499.040,84.825,-124.148,0.000
389.065,79.097,-3.517,0.000
509.868,81.450,-148.308,0.000
488.373,85.720,-121.623,0.000
448.138,78.415,14.529,0.000
417.121,83.552,-42.051,0.000
465.979,87.922,-54.069,0.000
402.544,79.935,-41.626,0.000
484.520,88.098,-96.197,0.000
462.898,77.962,17.811,0.000
500.513,85.307,-121.315,0.000
388.051,79.095,-38.302,0.000
461.403,85.704,-25.783,0.000
513.533,73.051,-156.766,0.000
471.122,88.298,-68.298,0.000
461.497,86.003,-27.930,0.000
388.389,79.095,-26.707,0.000
410.064,80.521,16.179,0.000
445.441,85.248,-39.287,0.000
389.487,79.095,10.977,0.000
512.078,75.060,-153.405,0.000
462.895,77.716,19.644,0.000
501.335,84.746,-124.253,0.000
399.628,79.454,-41.541,0.000
402.544,79.935,-41.626,0.000
396.713,79.416,-41.456,0.000
388.136,79.096,-35.404,0.000
401.318,79.779,16.434,0.000
492.153,85.632,-120.565,0.000
404.234,80.206,16.349,0.000
434.196,84.354,-40.754,0.000
454.013,78.353,14.223,0.000
469.546,88.206,-64.365,0.000
461.306,84.698,-19.430,0.000
511.345,78.293,-151.714,0.000
399.628,79.454,-41.541,0.000
461.368,83.987,-15.270,0.000
388.389,79.095,-26.707,0.000
464.790,87.801,-49.865,0.000
480.790,88.351,-88.978,0.000
461.368,83.987,-15.270,0.000
389.403,79.095,8.078,0.000
389.572,79.097,13.876,0.000
501.320,84.757,-124.199,0.000
462.838,78.522,14.213,0.000
417.121,83.552,-42.051,0.000
389.318,79.095,5.179,0.000
459.497,86.872,-37.454,0.000
461.806,82.111,-5.175,0.000
475.354,88.436,-77.876,0.000
461.593,82.874,-9.211,0.000
388.220,79.096,-32.505,0.000
495.932,85.691,-119.508,0.000
456.950,78.350,14.070,0.000
480.790,88.351,-88.978,0.000
459.887,78.410,13.917,0.000
508.376,81.508,-144.864,0.000
481.718,88.306,-90.794,0.000
474.480,88.420,-75.987,0.000
464.247,87.734,-47.696,0.000
502.144,81.701,-127.147,0.000
389.572,79.097,13.876,0.000
461.806,82.111,-5.175,0.000
405.459,80.253,-41.711,0.000
388.220,79.096,-32.505,0.000
494.688,86.306,-115.537,0.000
484.594,85.762,-122.680,0.000
461.593,82.874,-9.211,0.000
499.040,84.825,-124.148,0.000
500.726,81.532,-127.628,0.000
483.584,88.179,-94.403,0.000
463.744,87.647,-45.481,0.000
430.516,79.008,15.448,0.000
437.007,84.623,-40.387,0.000
465.366,87.862,-51.976,0.000
388.896,79.097,-9.315,0.000
459.887,78.410,13.917,0.000
508.649,80.836,-150.398,0.000
389.149,79.096,-0.618,0.000
518.233,67.199,-167.694,0.000
470.324,88.254,-66.339,0.000
388.727,79.096,-15.112,0.000
436.390,78.733,15.142,0.000
512.806,73.935,-155.087,0.000
420.036,83.487,-42.136,0.000
468.790,88.155,-62.374,0.000
477.134,88.442,-81.619,0.000
442.264,78.543,14.836,0.000
499.903,81.837,-125.916,0.000
388.305,79.095,-29.606,0.000
506.948,81.376,-144.318,0.000
494.295,76.325,-157.348,0.000
448.252,85.464,-38.920,0.000
477.035,84.601,-124.794,0.000
462.778,78.831,12.329,0.000
456.950,78.350,14.070,0.000
497.332,85.476,-120.715,0.000
516.392,69.508,-163.398,0.000
479.867,88.389,-87.152,0.000
408.375,80.551,-41.796,0.000
486.393,87.901,-99.763,0.000
513.533,73.051,-156.766,0.000
393.798,79.419,-41.371,0.000
471.122,88.298,-68.298,0.000
502.126,81.703,-127.083,0.000
422.952,82.757,-42.221,0.000
514.970,71.259,-160.095,0.000
507.831,81.342,-147.476,0.000
487.329,87.782,-101.537,0.000
488.264,87.650,-103.304,0.000
415.895,83.491,16.010,0.000
393.798,79.419,-41.371,0.000
390.882,79.380,-41.286,0.000
404.234,80.206,16.349,0.000
463.295,87.532,-43.266,0.000
511.345,78.293,-151.714,0.000
461.923,81.738,-3.178,0.000
485.457,88.007,-97.983,0.000
472.771,88.370,-72.170,0.000
461.310,85.038,-21.533,0.000
469.546,88.206,-64.365,0.000
388.727,79.096,-15.112,0.000
439.819,84.799,-40.021,0.000
