Dan - blue X (352.0000, 74.9864, 105.6000) road=(413.492, 77.454, 161.530) center setback=83.12329
  Foundation local=(0.00, 0.53, 0.00) scale=(14.00, 1.27, 11.00)
  Phase 6 architecture local=(0.00, 1.07, 0.00) scale=(1.00, 1.00, 1.00)
  Entrance step 1 local=(0.00, 0.54, 5.35) scale=(2.10, 1.15, 0.65)
  Entrance step 2 local=(0.00, 0.43, 5.95) scale=(2.10, 0.90, 0.65)
  Entrance step 3 local=(0.00, 0.32, 6.55) scale=(2.10, 0.65, 0.65)
Original house 2 (438.9000, 85.3744, -111.1000) road=(490.924, 88.562, -84.639) center setback=58.36711
  Foundation local=(0.00, 0.06, 0.00) scale=(14.00, 2.72, 11.00)
  Phase 6 architecture local=(0.00, 1.32, 0.00) scale=(1.00, 1.00, 1.00)
  Entrance step 1 local=(-2.00, 1.01, 5.35) scale=(2.10, 0.71, 0.65)
  Entrance step 2 local=(-2.00, 0.93, 5.95) scale=(2.10, 0.40, 0.65)
Original house 3 (429.0000, 32.7548, -220.0000) road=(533.871, 60.755, -176.475) center setback=113.5445
  Foundation local=(0.00, 0.25, 0.00) scale=(14.00, 0.70, 11.00)
  Phase 6 architecture local=(0.00, 0.50, 0.00) scale=(1.00, 1.00, 1.00)
  Entrance step 1 local=(0.00, 0.25, 5.35) scale=(2.10, 0.60, 0.65)
  Entrance step 2 local=(0.00, 0.13, 5.95) scale=(2.10, 0.36, 0.65)
Friend across street - blue circle (511.5000, 84.8655, -35.2000) road=(474.486, 87.866, -43.114) center setback=37.85019
  Foundation local=(0.00, 0.25, 0.00) scale=(14.00, 0.70, 11.00)
  Phase 6 architecture local=(0.00, 0.50, 0.00) scale=(1.00, 1.00, 1.00)
  Entrance step 1 local=(0.00, 0.25, 5.35) scale=(2.10, 0.60, 0.65)
  Entrance step 2 local=(0.00, 0.13, 5.95) scale=(2.10, 0.36, 0.65)
H3 candidate (429.00, 0.00, -40.00) ground=86.02695 road=(473.10, 87.16, -34.67)
H3 candidate (429.00, 0.00, -60.00) ground=86.37969 road=(475.61, 88.05, -47.75)
H3 candidate (429.00, 0.00, -80.00) ground=86.07095 road=(479.71, 88.43, -60.16)
H3 candidate (429.00, 0.00, -100.00) ground=85.11171 road=(485.49, 88.66, -73.57)
H3 candidate (429.00, 0.00, -120.00) ground=82.88501 road=(492.27, 88.48, -87.27)
H3 candidate (429.00, 0.00, -140.00) ground=78.88556 road=(500.22, 87.50, -102.39)
H3 candidate (429.00, 0.00, -160.00) ground=71.84026 road=(509.58, 84.78, -120.67)
H3 candidate (429.00, 0.00, -180.00) ground=42.8551 road=(518.74, 78.87, -141.12)
H3 candidate (429.00, 0.00, -200.00) ground=32.75478 road=(526.15, 70.91, -158.25)
H3 candidate (429.00, 0.00, -220.00) ground=32.75478 road=(533.87, 60.75, -176.47)
