action,time,x,y,z,speed,grounded,immersion
entry moto0,0.080,642.000,78.707,45.223,10.746,4,0.000
entry moto0,0.100,642.000,78.704,45.002,11.039,4,0.000
entry moto0,0.000,642.000,78.700,44.775,11.332,4,0.000
entry moto0,0.020,642.000,78.695,44.542,11.622,4,0.000
entry moto0,0.040,642.000,78.690,44.303,11.911,4,0.000
entry moto0,0.060,642.000,78.684,44.058,12.199,4,0.000
entry moto0,0.080,642.000,78.677,43.808,12.486,4,0.000
entry moto0,0.100,642.000,78.669,43.552,12.771,4,0.000
entry moto0,0.000,642.000,78.659,43.290,13.055,4,0.012
entry moto0,0.020,642.000,78.649,43.023,13.333,4,0.028
entry moto0,0.040,642.000,78.638,42.751,13.603,4,0.046
entry moto0,0.060,642.000,78.625,42.473,13.865,4,0.066
entry moto0,0.080,642.000,78.611,42.190,14.118,4,0.087
entry moto0,0.100,642.000,78.596,41.902,14.360,4,0.110
entry moto0,0.000,642.000,78.579,41.610,14.592,4,0.136
entry moto0,0.020,642.000,78.561,41.314,14.811,4,0.163
entry moto0,0.040,642.000,78.542,41.013,15.018,4,0.192
entry moto0,0.060,642.000,78.522,40.709,15.211,4,0.223
entry moto0,0.080,642.000,78.501,40.401,15.389,4,0.256
entry moto0,0.100,642.000,78.478,40.090,15.552,4,0.291
entry moto0,0.000,642.000,78.455,39.776,15.699,4,0.327
entry moto0,0.020,642.000,78.430,39.460,15.828,4,0.365
entry moto0,0.040,642.000,78.405,39.142,15.940,4,0.404
entry moto0,0.060,642.000,78.379,38.821,16.034,4,0.444
entry moto0,0.080,642.000,78.352,38.500,16.109,4,0.485
entry moto0,0.000,642.000,78.325,38.177,16.165,4,0.528
entry moto0,0.020,642.000,78.297,37.854,16.202,4,0.570
entry moto0,0.040,642.000,78.268,37.530,16.219,4,0.614
entry moto0,0.060,642.000,78.240,37.207,16.217,4,0.658
entry moto0,0.080,642.000,78.211,36.884,16.196,4,0.702
entry moto0,0.100,642.000,78.183,36.562,16.155,4,0.746
entry moto0,0.000,642.000,78.155,36.241,16.096,4,0.789
entry moto0,0.020,642.000,78.127,35.921,16.019,4,0.832
entry moto0,0.040,642.000,78.099,35.604,15.924,4,0.875
entry moto0,0.060,642.000,78.072,35.289,15.812,4,0.916
entry moto0,0.080,642.000,78.046,34.976,15.685,4,0.957
entry moto0,0.100,642.000,78.020,34.667,15.542,4,0.996
immersed turn,0.000,642.000,77.745,31.347,14.808,4,1.000
immersed turn,0.017,642.000,77.742,31.055,14.659,4,1.000
immersed turn,0.037,641.999,77.741,30.764,14.510,4,1.000
immersed turn,0.057,641.997,77.743,30.477,14.361,4,1.000
immersed turn,0.077,641.994,77.747,30.193,14.213,4,1.000
immersed turn,0.097,641.989,77.752,29.911,14.063,4,1.000
immersed turn,0.117,641.980,77.758,29.633,13.911,4,1.000
immersed turn,0.137,641.967,77.766,29.357,13.759,4,1.000
immersed turn,0.157,641.950,77.774,29.085,13.605,4,1.000
immersed turn,0.177,641.928,77.782,28.816,13.451,4,1.000
immersed turn,0.197,641.901,77.791,28.551,13.297,4,1.000
immersed turn,0.217,641.868,77.799,28.289,13.143,4,1.000
immersed turn,0.237,641.829,77.807,28.031,12.990,4,1.000
immersed turn,0.257,641.784,77.815,27.777,12.839,4,1.000
immersed turn,0.277,641.733,77.823,27.527,12.689,4,1.000
immersed turn,0.297,641.675,77.830,27.281,12.541,4,1.000
immersed turn,0.317,641.612,77.837,27.040,12.395,4,1.000
immersed turn,0.337,641.542,77.843,26.803,12.252,4,1.000
immersed turn,0.357,641.466,77.848,26.571,12.111,4,1.000
immersed turn,0.377,641.385,77.853,26.344,11.973,4,1.000
immersed turn,0.397,641.297,77.858,26.122,11.838,4,1.000
immersed turn,0.417,641.204,77.861,25.905,11.706,4,1.000
immersed turn,0.437,641.106,77.865,25.694,11.577,4,1.000
immersed turn,0.457,641.002,77.867,25.488,11.450,4,1.000
immersed turn,0.477,640.893,77.870,25.287,11.327,4,1.000
immersed turn,0.497,640.779,77.871,25.092,11.207,4,1.000
immersed turn,0.517,640.660,77.873,24.902,11.089,4,1.000
immersed turn,0.537,640.537,77.874,24.718,10.975,4,1.000
immersed turn,0.557,640.409,77.874,24.540,10.863,4,1.000
immersed turn,0.577,640.277,77.875,24.368,10.754,4,1.000
immersed turn,0.597,640.141,77.875,24.202,10.648,4,1.000
immersed turn,0.617,640.001,77.875,24.041,10.545,4,1.000
immersed turn,0.637,639.858,77.874,23.887,10.444,4,1.000
immersed turn,0.657,639.711,77.874,23.738,10.346,4,1.000
immersed turn,0.677,639.562,77.873,23.596,10.250,4,1.000
immersed turn,0.697,639.409,77.873,23.459,10.157,4,1.000
immersed turn,0.717,639.253,77.872,23.329,10.066,4,1.000
immersed turn,0.737,639.095,77.871,23.204,9.978,4,1.000
immersed turn,0.757,638.934,77.871,23.086,9.891,4,1.000
immersed turn,0.777,638.771,77.870,22.974,9.808,4,1.000
immersed turn,0.797,638.606,77.869,22.867,9.726,4,1.000
immersed turn,0.817,638.439,77.869,22.767,9.646,4,1.000
immersed turn,0.837,638.270,77.868,22.673,9.569,4,1.000
immersed turn,0.857,638.100,77.868,22.585,9.493,4,1.000
immersed turn,0.877,637.928,77.867,22.503,9.420,4,1.000
immersed turn,0.897,637.756,77.867,22.427,9.348,4,1.000
immersed turn,0.917,637.582,77.866,22.357,9.279,4,1.000
immersed turn,0.937,637.408,77.866,22.293,9.211,4,1.000
immersed turn,0.957,637.232,77.866,22.235,9.146,4,1.000
immersed turn,0.977,637.057,77.866,22.183,9.082,4,1.000
immersed turn,0.997,636.881,77.866,22.137,9.020,4,1.000
brake through zero to reverse,0.000,636.705,77.866,22.096,8.960,4,1.000
brake through zero to reverse,0.020,636.536,77.866,22.062,8.499,4,1.000
brake through zero to reverse,0.040,636.377,77.866,22.034,8.053,4,1.000
brake through zero to reverse,0.060,636.225,77.866,22.012,7.623,4,1.000
brake through zero to reverse,0.080,636.081,77.866,21.994,7.205,4,1.000
brake through zero to reverse,0.100,635.945,77.866,21.980,6.800,4,1.000
brake through zero to reverse,0.120,635.817,77.866,21.969,6.404,4,1.000
brake through zero to reverse,0.140,635.696,77.866,21.961,6.018,4,1.000
brake through zero to reverse,0.160,635.583,77.866,21.955,5.640,4,1.000
brake through zero to reverse,0.180,635.478,77.866,21.951,5.271,4,1.000
brake through zero to reverse,0.200,635.379,77.866,21.948,4.909,4,1.000
brake through zero to reverse,0.220,635.288,77.866,21.947,4.554,4,1.000
brake through zero to reverse,0.240,635.204,77.866,21.946,4.206,4,1.000
brake through zero to reverse,0.260,635.127,77.866,21.945,3.865,4,1.000
brake through zero to reverse,0.280,635.056,77.866,21.946,3.531,4,1.000
brake through zero to reverse,0.300,634.992,77.867,21.946,3.203,4,1.000
brake through zero to reverse,0.320,634.934,77.867,21.947,2.882,4,1.000
brake through zero to reverse,0.340,634.883,77.867,21.947,2.567,4,1.000
brake through zero to reverse,0.360,634.838,77.867,21.948,2.258,4,1.000
brake through zero to reverse,0.380,634.799,77.867,21.949,1.955,4,1.000
brake through zero to reverse,0.400,634.765,77.867,21.950,1.658,4,1.000
brake through zero to reverse,0.420,634.738,77.867,21.950,1.367,4,1.000
brake through zero to reverse,0.440,634.717,77.867,21.951,1.081,4,1.000
brake through zero to reverse,0.460,634.700,77.867,21.951,0.801,4,1.000
brake through zero to reverse,0.480,634.690,77.867,21.951,0.527,4,1.000
brake through zero to reverse,0.500,634.681,77.867,21.951,0.449,4,1.000
brake through zero to reverse,0.520,634.674,77.867,21.952,0.373,4,1.000
brake through zero to reverse,0.540,634.668,77.867,21.952,0.299,4,1.000
brake through zero to reverse,0.560,634.663,77.867,21.952,0.226,4,1.000
brake through zero to reverse,0.580,634.660,77.867,21.952,0.155,4,1.000
brake through zero to reverse,0.600,634.658,77.867,21.952,0.084,4,1.000
brake through zero to reverse,0.620,634.658,77.867,21.952,0.016,4,1.000
brake through zero to reverse,0.640,634.659,77.867,21.952,-0.052,4,1.000
brake through zero to reverse,0.660,634.661,77.867,21.952,-0.118,4,1.000
brake through zero to reverse,0.680,634.665,77.867,21.952,-0.182,4,1.000
brake through zero to reverse,0.700,634.670,77.867,21.951,-0.244,4,1.000
brake through zero to reverse,0.720,634.676,77.867,21.951,-0.305,4,1.000
brake through zero to reverse,0.740,634.683,77.867,21.951,-0.365,4,1.000
brake through zero to reverse,0.760,634.692,77.867,21.951,-0.423,4,1.000
brake through zero to reverse,0.780,634.701,77.867,21.950,-0.479,4,1.000
brake through zero to reverse,0.800,634.712,77.867,21.950,-0.534,4,1.000
brake through zero to reverse,0.820,634.724,77.867,21.950,-0.588,4,1.000
brake through zero to reverse,0.840,634.736,77.867,21.949,-0.640,4,1.000
brake through zero to reverse,0.860,634.750,77.867,21.949,-0.691,4,1.000
brake through zero to reverse,0.880,634.765,77.867,21.948,-0.740,4,1.000
brake through zero to reverse,0.900,634.781,77.867,21.947,-0.789,4,1.000
brake through zero to reverse,0.920,634.797,77.867,21.947,-0.836,4,1.000
brake through zero to reverse,0.940,634.815,77.867,21.946,-0.881,4,1.000
brake through zero to reverse,0.960,634.834,77.867,21.946,-0.926,4,1.000
brake through zero to reverse,0.980,634.853,77.867,21.945,-0.970,4,1.000
brake through zero to reverse,1.000,634.873,77.867,21.944,-1.012,4,1.000
brake through zero to reverse,1.020,634.894,77.867,21.943,-1.054,4,1.000
brake through zero to reverse,1.040,634.916,77.867,21.943,-1.094,4,1.000
brake through zero to reverse,1.060,634.939,77.867,21.942,-1.133,4,1.000
brake through zero to reverse,1.080,634.962,77.867,21.941,-1.171,4,1.000
brake through zero to reverse,1.100,634.986,77.867,21.940,-1.209,4,1.000
brake through zero to reverse,1.120,635.011,77.867,21.939,-1.245,4,1.000
brake through zero to reverse,1.140,635.037,77.867,21.938,-1.280,4,1.000
brake through zero to reverse,1.160,635.063,77.867,21.937,-1.315,4,1.000
brake through zero to reverse,1.180,635.090,77.867,21.937,-1.349,4,1.000
brake through zero to reverse,1.200,635.118,77.867,21.936,-1.381,4,1.000
brake through zero to reverse,1.220,635.146,77.867,21.935,-1.413,4,1.000
brake through zero to reverse,1.240,635.175,77.867,21.934,-1.444,4,1.000
brake through zero to reverse,1.260,635.204,77.867,21.932,-1.475,4,1.000
brake through zero to reverse,1.280,635.234,77.867,21.931,-1.504,4,1.000
brake through zero to reverse,1.300,635.265,77.867,21.930,-1.533,4,1.000
brake through zero to reverse,1.320,635.296,77.867,21.929,-1.561,4,1.000
brake through zero to reverse,1.340,635.328,77.867,21.928,-1.589,4,1.000
brake through zero to reverse,1.360,635.360,77.867,21.927,-1.615,4,1.000
brake through zero to reverse,1.380,635.393,77.867,21.926,-1.641,4,1.000
brake through zero to reverse,1.400,635.426,77.867,21.925,-1.667,4,1.000
brake through zero to reverse,1.420,635.460,77.867,21.923,-1.691,4,1.000
brake through zero to reverse,1.440,635.494,77.867,21.922,-1.715,4,1.000
brake through zero to reverse,1.460,635.529,77.867,21.921,-1.739,4,1.000
brake through zero to reverse,1.480,635.564,77.867,21.920,-1.762,4,1.000
brake through zero to reverse,1.500,635.600,77.867,21.918,-1.784,4,1.000
brake through zero to reverse,1.520,635.636,77.867,21.917,-1.806,4,1.000
brake through zero to reverse,1.540,635.673,77.867,21.916,-1.827,4,1.000
brake through zero to reverse,1.560,635.710,77.867,21.915,-1.847,4,1.000
brake through zero to reverse,1.580,635.747,77.867,21.913,-1.867,4,1.000
brake through zero to reverse,1.600,635.785,77.867,21.912,-1.887,4,1.000
brake through zero to reverse,1.620,635.823,77.867,21.911,-1.906,4,1.000
brake through zero to reverse,1.640,635.861,77.867,21.909,-1.925,4,1.000
brake through zero to reverse,1.660,635.900,77.867,21.908,-1.943,4,1.000
brake through zero to reverse,1.680,635.939,77.867,21.906,-1.960,4,1.000
brake through zero to reverse,1.700,635.979,77.867,21.905,-1.977,4,1.000
brake through zero to reverse,1.720,636.019,77.867,21.904,-1.994,4,1.000
brake through zero to reverse,1.740,636.059,77.867,21.902,-2.011,4,1.000
brake through zero to reverse,1.760,636.099,77.867,21.901,-2.026,4,1.000
brake through zero to reverse,1.780,636.140,77.867,21.899,-2.042,4,1.000
brake through zero to reverse,1.800,636.181,77.867,21.898,-2.057,4,1.000
brake through zero to reverse,1.820,636.223,77.867,21.896,-2.072,4,1.000
brake through zero to reverse,1.840,636.264,77.867,21.895,-2.086,4,1.000
brake through zero to reverse,1.860,636.306,77.867,21.893,-2.100,4,1.000
brake through zero to reverse,1.880,636.349,77.867,21.892,-2.114,4,1.000
brake through zero to reverse,1.900,636.391,77.867,21.890,-2.127,4,1.000
brake through zero to reverse,1.920,636.434,77.867,21.889,-2.140,4,1.000
brake through zero to reverse,1.940,636.477,77.867,21.887,-2.153,4,1.000
brake through zero to reverse,1.960,636.520,77.867,21.886,-2.165,4,1.000
brake through zero to reverse,1.980,636.564,77.867,21.884,-2.177,4,1.000
brake through zero to reverse,2.000,636.607,77.867,21.883,-2.188,4,1.000
brake through zero to reverse,2.020,636.651,77.867,21.881,-2.200,4,1.000
brake through zero to reverse,2.040,636.696,77.867,21.880,-2.211,4,1.000
brake through zero to reverse,2.060,636.740,77.867,21.878,-2.222,4,1.000
brake through zero to reverse,2.080,636.785,77.867,21.877,-2.232,4,1.000
brake through zero to reverse,2.100,636.829,77.867,21.875,-2.242,4,1.000
brake through zero to reverse,2.120,636.875,77.867,21.873,-2.252,4,1.000
brake through zero to reverse,2.140,636.920,77.867,21.872,-2.262,4,1.000
brake through zero to reverse,2.160,636.965,77.867,21.870,-2.272,4,1.000
brake through zero to reverse,2.180,637.011,77.867,21.868,-2.281,4,1.000
brake through zero to reverse,2.200,637.057,77.867,21.867,-2.290,4,1.000
brake through zero to reverse,2.220,637.102,77.867,21.865,-2.299,4,1.000
brake through zero to reverse,2.240,637.149,77.867,21.864,-2.307,4,1.000
brake through zero to reverse,2.260,637.195,77.867,21.862,-2.316,4,1.000
brake through zero to reverse,2.280,637.241,77.867,21.860,-2.324,4,1.000
brake through zero to reverse,2.300,637.288,77.867,21.859,-2.332,4,1.000
brake through zero to reverse,2.320,637.335,77.867,21.857,-2.339,4,1.000
brake through zero to reverse,2.340,637.382,77.867,21.855,-2.347,4,1.000
brake through zero to reverse,2.360,637.429,77.867,21.854,-2.354,4,1.000
brake through zero to reverse,2.380,637.476,77.867,21.852,-2.361,4,1.000
brake through zero to reverse,2.400,637.523,77.867,21.850,-2.368,4,1.000
brake through zero to reverse,2.420,637.571,77.867,21.849,-2.375,4,1.000
brake through zero to reverse,2.440,637.618,77.867,21.847,-2.382,4,1.000
brake through zero to reverse,2.460,637.666,77.867,21.845,-2.388,4,1.000
brake through zero to reverse,2.480,637.714,77.867,21.844,-2.394,4,1.000
brake through zero to reverse,2.500,637.762,77.867,21.842,-2.401,4,1.000
brake through zero to reverse,2.520,637.810,77.867,21.840,-2.407,4,1.000
brake through zero to reverse,2.540,637.858,77.867,21.838,-2.412,4,1.000
brake through zero to reverse,2.560,637.907,77.867,21.837,-2.418,4,1.000
brake through zero to reverse,2.580,637.955,77.867,21.835,-2.424,4,1.000
brake through zero to reverse,2.600,638.004,77.867,21.833,-2.429,4,1.000
brake through zero to reverse,2.620,638.052,77.867,21.832,-2.434,4,1.000
brake through zero to reverse,2.640,638.101,77.867,21.830,-2.439,4,1.000
brake through zero to reverse,2.660,638.150,77.867,21.828,-2.444,4,1.000
brake through zero to reverse,2.680,638.199,77.867,21.826,-2.449,4,1.000
brake through zero to reverse,2.700,638.248,77.867,21.825,-2.454,4,1.000
brake through zero to reverse,2.720,638.297,77.867,21.823,-2.458,4,1.000
brake through zero to reverse,2.740,638.346,77.867,21.821,-2.463,4,1.000
brake through zero to reverse,2.760,638.395,77.867,21.819,-2.467,4,1.000
brake through zero to reverse,2.780,638.445,77.867,21.818,-2.472,4,1.000
brake through zero to reverse,2.800,638.494,77.867,21.816,-2.476,4,1.000
brake through zero to reverse,2.820,638.544,77.867,21.814,-2.480,4,1.000
brake through zero to reverse,2.840,638.594,77.867,21.812,-2.484,4,1.000
brake through zero to reverse,2.860,638.643,77.867,21.811,-2.487,4,1.000
brake through zero to reverse,2.880,638.693,77.867,21.809,-2.491,4,1.000
brake through zero to reverse,2.900,638.743,77.867,21.807,-2.495,4,1.000
brake through zero to reverse,2.920,638.793,77.867,21.805,-2.498,4,1.000
brake through zero to reverse,2.940,638.843,77.867,21.804,-2.502,4,1.000
brake through zero to reverse,2.960,638.893,77.867,21.802,-2.505,4,1.000
brake through zero to reverse,2.980,638.943,77.867,21.800,-2.509,4,1.000
brake through zero to reverse,3.000,638.993,77.867,21.798,-2.512,4,1.000
reverse out,0.000,639.044,77.867,21.796,-2.515,4,1.000
reverse out,0.020,639.094,77.867,21.795,-2.518,4,1.000
reverse out,0.040,639.144,77.867,21.793,-2.521,4,1.000
reverse out,0.060,639.195,77.867,21.791,-2.524,4,1.000
reverse out,0.080,639.245,77.867,21.789,-2.527,4,1.000
reverse out,0.100,639.296,77.867,21.788,-2.529,4,1.000
reverse out,0.000,639.346,77.867,21.786,-2.532,4,1.000
reverse out,0.020,639.397,77.867,21.784,-2.535,4,1.000
reverse out,0.040,639.448,77.867,21.782,-2.537,4,1.000
reverse out,0.060,639.499,77.867,21.780,-2.540,4,1.000
reverse out,0.080,639.549,77.867,21.779,-2.542,4,1.000
reverse out,0.100,639.600,77.867,21.777,-2.544,4,1.000
reverse out,0.000,639.651,77.867,21.775,-2.547,4,1.000
reverse out,0.020,639.702,77.867,21.773,-2.549,4,1.000
reverse out,0.040,639.753,77.867,21.771,-2.551,4,1.000
reverse out,0.060,639.804,77.867,21.770,-2.553,4,1.000
reverse out,0.080,639.855,77.867,21.768,-2.555,4,1.000
reverse out,0.100,639.906,77.867,21.766,-2.557,4,1.000
reverse out,0.000,639.957,77.867,21.764,-2.559,4,1.000
reverse out,0.020,640.009,77.867,21.762,-2.561,4,1.000
reverse out,0.040,640.060,77.867,21.760,-2.563,4,1.000
reverse out,0.060,640.111,77.867,21.759,-2.565,4,1.000
reverse out,0.080,640.162,77.867,21.757,-2.567,4,1.000
reverse out,0.100,640.214,77.867,21.755,-2.568,4,1.000
reverse out,0.000,640.265,77.867,21.753,-2.570,4,1.000
reverse out,0.020,640.316,77.867,21.751,-2.572,4,1.000
reverse out,0.040,640.368,77.867,21.750,-2.573,4,1.000
reverse out,0.060,640.419,77.867,21.748,-2.575,4,1.000
reverse out,0.080,640.471,77.867,21.746,-2.576,4,1.000
reverse out,0.100,640.522,77.867,21.744,-2.578,4,1.000
reverse out,0.000,640.574,77.867,21.742,-2.579,4,1.000
reverse out,0.020,640.626,77.867,21.740,-2.581,4,1.000
reverse out,0.040,640.677,77.867,21.739,-2.582,4,1.000
reverse out,0.060,640.729,77.867,21.737,-2.583,4,1.000
reverse out,0.080,640.780,77.867,21.735,-2.585,4,1.000
reverse out,0.000,640.832,77.867,21.733,-2.586,4,1.000
reverse out,0.020,640.884,77.867,21.731,-2.587,4,1.000
reverse out,0.040,640.936,77.867,21.729,-2.588,4,1.000
reverse out,0.060,640.987,77.867,21.728,-2.590,4,1.000
reverse out,0.080,641.039,77.867,21.726,-2.591,4,1.000
reverse out,0.100,641.091,77.867,21.724,-2.592,4,1.000
reverse out,0.000,641.143,77.867,21.722,-2.593,4,1.000
reverse out,0.020,641.195,77.867,21.720,-2.594,4,1.000
reverse out,0.040,641.246,77.867,21.718,-2.595,4,1.000
reverse out,0.060,641.298,77.867,21.717,-2.596,4,1.000
reverse out,0.080,641.350,77.867,21.715,-2.597,4,1.000
reverse out,0.100,641.402,77.867,21.713,-2.598,4,1.000
reverse out,0.000,641.454,77.867,21.711,-2.599,4,1.000
reverse out,0.020,641.506,77.867,21.709,-2.600,4,1.000
reverse out,0.040,641.558,77.867,21.707,-2.601,4,1.000
reverse out,0.060,641.610,77.867,21.706,-2.602,4,1.000
reverse out,0.080,641.662,77.867,21.704,-2.602,4,1.000
reverse out,0.100,641.714,77.867,21.702,-2.603,4,1.000
reverse out,0.000,641.766,77.867,21.700,-2.604,4,1.000
reverse out,0.020,641.818,77.867,21.698,-2.605,4,1.000
reverse out,0.040,641.870,77.867,21.696,-2.605,4,1.000
reverse out,0.060,641.922,77.867,21.694,-2.606,4,1.000
reverse out,0.080,641.974,77.867,21.693,-2.607,4,1.000
reverse out,0.100,642.027,77.867,21.691,-2.608,4,1.000
reverse out,0.000,642.079,77.867,21.689,-2.608,4,1.000
reverse out,0.020,642.131,77.867,21.687,-2.609,4,1.000
reverse out,0.040,642.183,77.867,21.685,-2.610,4,1.000
reverse out,0.060,642.235,77.867,21.683,-2.610,4,1.000
reverse out,0.080,642.287,77.867,21.682,-2.611,4,1.000
reverse out,0.100,642.340,77.867,21.680,-2.611,4,1.000
reverse out,0.000,642.392,77.867,21.678,-2.612,4,1.000
reverse out,0.020,642.444,77.867,21.676,-2.613,4,1.000
reverse out,0.040,642.496,77.867,21.674,-2.613,4,1.000
reverse out,0.060,642.548,77.867,21.672,-2.614,4,1.000
reverse out,0.080,642.601,77.867,21.670,-2.614,4,1.000
reverse out,0.000,642.653,77.867,21.669,-2.615,4,1.000
reverse out,0.020,642.705,77.867,21.667,-2.615,4,1.000
reverse out,0.040,642.757,77.867,21.665,-2.616,4,1.000
reverse out,0.060,642.810,77.867,21.663,-2.616,4,1.000
reverse out,0.080,642.862,77.867,21.661,-2.617,4,1.000
reverse out,0.100,642.914,77.867,21.659,-2.617,4,1.000
reverse out,0.000,642.967,77.867,21.657,-2.618,4,1.000
reverse out,0.020,643.019,77.867,21.656,-2.618,4,1.000
reverse out,0.040,643.071,77.867,21.654,-2.618,4,1.000
reverse out,0.060,643.124,77.867,21.652,-2.619,4,1.000
reverse out,0.080,643.176,77.867,21.650,-2.619,4,1.000
reverse out,0.100,643.228,77.867,21.648,-2.620,4,1.000
reverse out,0.000,643.281,77.867,21.646,-2.620,4,1.000
reverse out,0.020,643.333,77.867,21.644,-2.620,4,1.000
reverse out,0.040,643.386,77.867,21.643,-2.621,4,1.000
reverse out,0.060,643.438,77.867,21.641,-2.621,4,1.000
reverse out,0.080,643.490,77.867,21.639,-2.621,4,1.000
reverse out,0.100,643.543,77.867,21.637,-2.622,4,1.000
reverse out,0.000,643.595,77.867,21.635,-2.622,4,1.000
reverse out,0.020,643.648,77.867,21.633,-2.622,4,1.000
reverse out,0.040,643.700,77.867,21.631,-2.623,4,1.000
reverse out,0.060,643.752,77.867,21.630,-2.623,4,1.000
reverse out,0.080,643.805,77.867,21.628,-2.623,4,1.000
reverse out,0.100,643.857,77.867,21.626,-2.624,4,1.000
reverse out,0.000,643.910,77.867,21.624,-2.624,4,1.000
reverse out,0.020,643.962,77.867,21.622,-2.624,4,1.000
reverse out,0.040,644.015,77.867,21.620,-2.624,4,1.000
reverse out,0.060,644.067,77.867,21.618,-2.625,4,1.000
reverse out,0.080,644.119,77.867,21.617,-2.625,4,1.000
reverse out,0.100,644.172,77.867,21.615,-2.625,4,1.000
reverse out,0.000,644.224,77.867,21.613,-2.625,4,1.000
reverse out,0.020,644.277,77.867,21.611,-2.626,4,1.000
reverse out,0.040,644.329,77.867,21.609,-2.626,4,1.000
reverse out,0.060,644.382,77.867,21.607,-2.626,4,1.000
reverse out,0.080,644.434,77.867,21.605,-2.626,4,1.000
reverse out,0.100,644.487,77.867,21.604,-2.626,4,1.000
reverse out,0.000,644.539,77.867,21.602,-2.627,4,1.000
reverse out,0.020,644.592,77.867,21.600,-2.627,4,1.000
reverse out,0.040,644.644,77.867,21.598,-2.627,4,1.000
reverse out,0.060,644.697,77.867,21.596,-2.627,4,1.000
reverse out,0.080,644.749,77.867,21.594,-2.627,4,1.000
reverse out,0.000,644.802,77.867,21.592,-2.628,4,1.000
reverse out,0.020,644.854,77.867,21.591,-2.628,4,1.000
reverse out,0.040,644.907,77.867,21.589,-2.628,4,1.000
reverse out,0.060,644.960,77.867,21.587,-2.628,4,1.000
reverse out,0.080,645.012,77.867,21.585,-2.628,4,1.000
reverse out,0.100,645.065,77.867,21.583,-2.628,4,1.000
reverse out,0.000,645.117,77.867,21.581,-2.629,4,1.000
reverse out,0.020,645.170,77.867,21.579,-2.629,4,1.000
reverse out,0.040,645.222,77.867,21.578,-2.629,4,1.000
reverse out,0.060,645.275,77.867,21.576,-2.629,4,1.000
reverse out,0.080,645.327,77.867,21.574,-2.629,4,1.000
reverse out,0.100,645.380,77.867,21.572,-2.629,4,1.000
reverse out,0.000,645.432,77.867,21.570,-2.629,4,1.000
reverse out,0.020,645.485,77.867,21.568,-2.629,4,1.000
reverse out,0.040,645.538,77.867,21.566,-2.630,4,1.000
reverse out,0.060,645.590,77.867,21.565,-2.630,4,1.000
reverse out,0.080,645.643,77.867,21.563,-2.630,4,1.000
reverse out,0.100,645.695,77.867,21.561,-2.630,4,1.000
reverse out,0.000,645.748,77.867,21.559,-2.630,4,1.000
reverse out,0.020,645.800,77.867,21.557,-2.630,4,1.000
reverse out,0.040,645.853,77.867,21.555,-2.630,4,1.000
reverse out,0.060,645.905,77.867,21.553,-2.630,4,1.000
reverse out,0.080,645.958,77.867,21.551,-2.630,4,1.000
reverse out,0.100,646.011,77.867,21.550,-2.631,4,1.000
reverse out,0.000,646.063,77.867,21.548,-2.631,4,1.000
reverse out,0.020,646.116,77.867,21.546,-2.631,4,1.000
reverse out,0.040,646.168,77.867,21.544,-2.631,4,1.000
reverse out,0.060,646.221,77.867,21.542,-2.631,4,1.000
reverse out,0.080,646.274,77.867,21.540,-2.631,4,1.000
reverse out,0.100,646.326,77.867,21.538,-2.631,4,1.000
