Ground_CR117 gully catch | CR117 main flights and alternatives | Center: (1260.00, 111.54, -275.00), Extents: (90.00, 12.50, 19.00)
Ground_CR110 narrow ridge cut | CR110 mountain race geometry | Center: (883.18, 112.54, -78.56), Extents: (137.88, 26.50, 44.61)
Ground_CR103 supported connection | CR094 summit launch | Center: (1096.39, 157.94, 153.77), Extents: (116.36, 6.09, 57.65)
Ground_CR117 outer ravine | CR117 outer ravine landscape | Center: (1165.00, 92.46, -60.00), Extents: (365.00, 59.44, 440.00)
Ground_CR117 tangent gully return | CR117 smooth route connections | Center: (1185.25, 122.73, -161.28), Extents: (211.29, 23.53, 118.57)
Ground_CR113 east four lane seam | CR113 continuous highway seams | Center: (480.88, 25.40, 555.00), Extents: (319.96, 16.40, 14.59)
Ground_CR113 west level outer continuation | CR113 supported outer continuations | Center: (-1170.95, 8.11, 538.93), Extents: (80.00, 0.00, 8.20)
Ground_CR110 main supported trail | CR110 mountain race geometry | Center: (871.30, 121.20, 13.20), Extents: (186.22, 42.97, 146.63)
Takeoff - 40m x 6m, 6.2m rise | Phase 4 - Connector Jump | Center: (-628.24, 10.97, -75.02), Extents: (5.74, 3.19, 45.08)
Ground_CR103 smooth landing | CR094 summit launch | Center: (785.58, 139.38, 91.97), Extents: (95.54, 49.63, 48.35)
Ground_CR113 west four lane seam | CR113 continuous highway seams | Center: (-798.34, 8.02, 539.79), Extents: (292.61, 0.09, 9.63)
Ground_CR113 east outer supported shoulders | CR113 supported outer continuations | Center: (880.84, 41.65, 561.39), Extents: (80.00, 0.00, 60.00)
Ground_CR113 east level outer continuation | CR113 supported outer continuations | Center: (880.84, 41.80, 561.39), Extents: (80.00, 0.00, 8.20)
Ground_CR117 gully approach | CR117 main flights and alternatives | Center: (795.56, 98.19, -200.52), Extents: (55.51, 12.15, 81.40)
Ground_CR113 Kyle driveway edge join | CR113 continuous highway seams | Center: (490.41, 80.49, -19.92), Extents: (13.32, 1.80, 18.22)
Ground_CR117 rounded start turn | CR117 smooth route connections | Center: (720.96, 81.39, -81.00), Extents: (12.86, 2.38, 41.79)
Ground_CR117 Summit Traverse rejoin | CR117 downhill summit return | Center: (749.36, 101.63, 44.63), Extents: (67.52, 16.12, 30.83)
Ground_CR117 downhill summit return | CR117 downhill summit return | Center: (712.59, 88.67, 17.28), Extents: (39.53, 9.70, 70.25)
Ground_CR117 gully takeoff | CR117 main flights and alternatives | Center: (960.00, 120.84, -275.00), Extents: (110.00, 10.80, 12.00)
Ground_CR113 west outer supported shoulders | CR113 supported outer continuations | Center: (-1170.95, 7.96, 538.93), Extents: (80.00, 0.00, 60.00)
